[12:37:06] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:06.550349+05:30'}
[12:37:42] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:42.529709+05:30'}
[12:38:07] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:38:07.097948+05:30'}
[12:48:55] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:48:55.717692+05:30'}
[13:42:51] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:51.949448+05:30'}
[13:42:53] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:53.886960+05:30'}
[13:42:56] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:56.139672+05:30'}
[13:42:58] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:58.901820+05:30'}
[13:43:00] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:43:00.483368+05:30'}
[13:43:03] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:43:03.897852+05:30'}
[13:43:04] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:43:04.751215+05:30'}
[13:43:08] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:43:08.900167+05:30'}
[13:43:09] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:43:09.056744+05:30'}
[13:43:13] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:43:13.253222+05:30'}
